#Source,Target,Weight
BARRIGAN,COLIN,6
BILLY,ASAP,1
BILLY,BANKROBBER,1
BILLY,BARRIGAN,1
BILLY,BARTENDER,1
BILLY,BILL,1
BILLY,BROWN,2
BILLY,COSTELLO,7
BILLY,DIGNAM,3
BILLY,FBI,1
BILLY,FRENCH,1
BILLY,GWEN,1
BILLY,MISTER FRENCH,4
BILLY,PRIESTS,1
BILLY,PROPRIETOR,1
BILLY,QUEENAN,6
BILLY,UNCLE,1
BILLY,YOUNG PRIEST,1
BILLY'S AUNT,BILLY,2
BILLY'S AUNT,SEAN,1
BOOKIE,BILLY,1
BRIAN,FRENCH,1
BROWN,BARRIGAN,3
CAMERA GEEK COP,ELLERBY,1
CHINESE TRANSLATOR,CHINESE GANGSTER,1
COLIN,BILL,1
COLIN,BILLY,4
COLIN,BROWN,8
COLIN,COSTELLO,6
COLIN,DETECTIVE 1,2
COLIN,DETECTIVE 2,1
COLIN,DIGNAM,2
COLIN,ELLERBY,4
COLIN,FRENCH,1
COLIN,GWEN,1
COLIN,LAZIO,1
COLIN,QUEENAN,2
COLIN,QUEENAN'S SECRETARY,1
COSTELLO,BARTENDER,1
COSTELLO,CHINESE GANGSTER,1
COSTELLO,CHINESE TRANSLATOR,1
COSTELLO,DIGNAM,1
COSTELLO,FRENCH,2
COSTELLO,GWEN,2
COSTELLO,JIMMY,1
COSTELLO,PRIESTS,1
COSTELLO,YOUNG PRIEST,1
DELAHUNT,BILLY,2
DETECTIVE 1,DETECTIVE 2,2
DETECTIVE 1,DETECTIVE 4,1
DIGNAM,QUEENAN,5
DIGNAM,SGT DIGNAM,1
DOME,COLIN,1
DOME,REALTOR,1
DRILL INSTRUCTOR,BILLY,1
ELLERBY,BROWN,2
ELLERBY,COSTELLO,1
ELLERBY,DIGNAM,2
ELLERBY,LAZIO,2
FADE UP ON,COSTELLO,1
FITZY,BILLY,2
FITZY,COLIN,1
FITZY,COSTELLO,1
FITZY,DELAHUNT,2
FITZY,MISTER FRENCH,1
LAZIO,DIGNAM,1
MADOLYN,BILLY,5
MADOLYN,COLIN,5
MADOLYN,COSTELLO,3
MADOLYN,GWEN,1
MISTER FRENCH,BARTENDER,1
MISTER FRENCH,BOOKIE,1
MISTER FRENCH,COSTELLO,5
MISTER FRENCH,DELAHUNT,1
MISTER FRENCH,FRENCH,1
MISTER FRENCH,GWEN,1
MRS KENNEFICK,BARRIGAN,1
MRS KENNEFICK,COLIN,1
NEWS ANCHOR,COSTELLO,1
NEWS ANCHOR,FITZY,1
NEWS ANCHOR,MISTER FRENCH,1
OTHER PRISONER,BILLY,1
PHONE TECH COP,DIGNAM,1
PHONE TECH COP,ELLERBY,1
PHONE TECH COP,LAZIO,1
PRIESTS,YOUNG PRIEST,1
PROPRIETOR,COLIN,1
PROPRIETOR,COSTELLO,1
PROPRIETOR,YOUNG COLIN,1
QUEENAN,ASAP,1
QUEENAN,BROWN,1
QUEENAN,COSTELLO,1
QUEENAN,ELLERBY,2
QUEENAN,FBI,1
QUEENAN,FITZY,1
QUEENAN,LAZIO,1
QUEENAN,PHONE TECH COP,1
QUEENAN'S SECRETARY,BROWN,1
REALTOR,COLIN,1
REPORTER,ELLERBY,1
SEAN,BILLY,3
SEAN,FRENCH,1
SEAN,MISTER FRENCH,1
SGT DIGNAM,BILLY,2
SGT DIGNAM,COLIN,1
SGT DIGNAM,ELLERBY,1
SGT DIGNAM,LAZIO,1
SGT DIGNAM,QUEENAN,1
SPEAKER,COSTELLO,1
VOICE ON PHONE,COLIN,1
YOUNG COLIN,COLIN,1
YOUNG COLIN,COSTELLO,1
YOUNG COSTELLO,COLIN,1
YOUNG COSTELLO,COSTELLO,1
YOUNG COSTELLO,INSTRUCTOR,1
YOUNG COSTELLO,PROPRIETOR,1
YOUNG COSTELLO,YOUNG COLIN,2
