Id,Label,timeset,movie_id,Eccentricity,closnesscentrality,betweenesscentrality,Degree,componentnumber,modularity_class
4057101,VINCENT,,660,3,1.405405,301,25,0,0
4058019,BUTCH,,660,3,1.621622,248.333333,17,0,1
4057097,JULES,,660,3,1.648649,114.166667,16,0,2
4061652,MAYNARD,,660,4,2.486486,70,3,0,4
4057077,HONEY BUNNY,,660,4,2.081081,49.5,8,0,3
4057073,PUMPKIN,,660,4,2.081081,49.5,8,0,3
4060209,SPORTSCASTER #1,,660,4,2.540541,36,2,0,1
4058398,MIA,,660,3,1.864865,33.5,11,0,0
4057986,MARSELLUS,,660,3,1.891892,26.666667,10,0,1
4057605,BRETT,,660,3,1.972973,2.666667,7,0,1
4058186,JODY,,660,4,2.297297,0.333333,4,0,0
4058231,LANCE,,660,4,2.297297,0.333333,4,0,0
4058592,BUDDY,,660,4,2.351351,0,2,0,0
4060076,CAPT KOONS,,660,3,2.027027,0,5,0,0
4059110,ED SULLIVAN,,660,4,2.351351,0,2,0,0
4058055,ENGLISH DAVE,,660,3,2.054054,0,4,0,0
4060290,ESMARELDA,,660,4,2.594595,0,1,0,1
4060614,FABIENNE,,660,3,2.216216,0,3,0,1
4062356,FOURTH MAN,,660,4,2.324324,0,2,0,2
4061593,GAWKER #2,,660,4,2.540541,0,3,0,1
4062737,JIMMIE,,660,4,2.297297,0,3,0,2
4063840,MANAGER,,660,4,2.162162,0,5,0,3
4057763,MARVIN,,660,3,2,0,6,0,1
4060058,MOTHER,,660,3,2.027027,0,5,0,0
4063718,PATRON,,660,4,2.162162,0,5,0,3
4061572,PEDESTRIAN,,660,4,2.540541,0,3,0,1
4059417,PREACHER,,660,4,2.324324,0,3,0,0
4063490,RAQUEL,,660,4,2.297297,0,3,0,2
4057772,ROGER,,660,3,2,0,6,0,1
4060231,SPORTSCASTER #2,,660,5,3.513514,0,1,0,1
4061832,THE GIMP,,660,5,3.432432,0,2,0,4
4062894,THE WOLF,,660,4,2.297297,0,3,0,2
4056826,WAITRESS,,660,5,2.972973,0,4,0,3
4063481,WINSTON,,660,4,2.297297,0,3,0,2
4060044,WOMAN,,660,3,2.027027,0,5,0,0
4056770,YOUNG MAN,,660,5,2.972973,0,4,0,3
4056774,YOUNG WOMAN,,660,5,2.972973,0,4,0,3
4061778,ZED,,660,5,3.432432,0,2,0,4
